animal,word,char,stories
cat,248.0,1190.857142857143,7
man,194.9090909090909,907.3636363636364,11
shepherd,176.0909090909091,836.1818181818181,11
lion,171.4375,795.28125,32
donkey,168.4,798.4,15
snake,160.5,756.5,10
dog,145.8,685.9,20
catcher,141.42857142857142,670.2857142857143,7
monkey,137.5,636.6666666666666,6
wolf,136.92,625.44,25
fox,133.5185185185185,628.5185185185185,27
sheep,130.9090909090909,620.2727272727273,11
tree,124.5,602.625,8
eagle,124.07142857142857,571.7857142857143,14
bird,123.83333333333333,580.3333333333334,6
farmer,114.66666666666667,531.0,6
